name,ml_disk,ml_bul,chi2,chi2_red,ndof,n_points,v_max
UGC04278,0.7634752910962315,0.1,61.4858683140392,2.6732986223495305,23,25,92.8
UGC04305,0.1,0.1,697.9040513345881,34.8952025667294,20,22,37.3
UGC04325,1.6835612401862532,0.1,43.46314993311197,7.2438583221853285,6,8,92.7
UGC04483,0.1,0.1,26.767152119797007,4.461192019966168,6,8,24.3
UGC04499,0.3151495236722424,0.1,16.670064788889505,2.381437826984215,7,9,74.3
UGC05005,0.14442520951069196,0.1,3.6677143110137362,0.40752381233485957,9,11,100.0
UGC05253,0.9889488619600737,0.675036860787641,435.21573089457564,6.1297990266841635,71,73,248.0
UGC05414,0.24033871923155423,0.1,1.272170987268305,0.3180427468170762,4,6,61.4
UGC05716,0.8328368297116051,0.1,234.66523902532484,23.466523902532483,10,12,74.7
UGC05721,2.0772971031931013,0.1,68.81962615413615,3.277125054958864,21,23,82.6
UGC05750,0.16773157505897449,0.1,9.654771465660673,1.0727523850734082,9,11,78.9
UGC05764,4.8873364940198645,0.1,102.71274557399481,12.839093196749351,8,10,55.8
UGC05829,0.32678039053107094,0.1,13.526609781366352,1.502956642374039,9,11,68.6
UGC05918,0.449911106943085,0.1,6.4318250091691125,1.0719708348615187,6,8,44.5
UGC05986,1.243580664142109,0.1,85.6096289498013,6.5853560730616385,13,15,116.0
UGC05999,0.299039114611344,0.1,11.81691735843968,3.9389724528132266,3,5,100.0
UGC06399,0.8287871418636097,0.1,2.8234951011128855,0.4033564430161265,7,9,87.6
UGC06446,1.4773411051013705,0.1,9.475369980751191,0.6316913320500794,15,17,84.9
UGC06614,0.5526956601865088,0.4707573243498661,6.116185275985247,0.5560168432713861,11,13,205.0
UGC06628,0.1,0.1,34.585990703725955,6.917198140745191,5,7,42.3
UGC06667,3.5093581761833814,0.1,19.515071171397672,2.7878673101996676,7,9,85.7
UGC06786,1.5941241886222497,0.5037292808363547,902.4712295595182,20.98770301301205,43,45,229.0
UGC06787,2.17162091796223,0.42510008436810964,1803.1588808459844,26.13273740356499,69,71,276.0
UGC06818,0.20598684406951348,0.1,20.478066425754243,3.4130110709590404,6,8,74.4
UGC06917,0.7763549033367758,0.1,9.316672931984831,1.035185881331648,9,11,111.0
UGC06923,0.48318418161059573,0.1,4.089474930453652,1.022368732613413,4,6,81.1
UGC06930,0.5217469910388661,0.1,14.16060126987773,1.7700751587347163,8,10,109.0
UGC06973,0.37987304822209045,0.1,196.94559239435424,28.13508462776489,7,9,180.0
UGC06983,1.0240217137782903,0.1,15.754486435863248,1.0502990957242164,15,17,113.0
UGC07089,0.18100156593968764,0.1,1.6310739820547024,0.16310739820547024,10,12,79.1
UGC07125,0.1,0.1,735.288645648337,66.844422331667,11,13,65.6
UGC07151,0.5929515712369336,0.1,28.35353438593316,3.1503927095481288,9,11,76.2
UGC07261,0.6585250658459385,0.1,3.8925607996978555,0.7785121599395711,5,7,76.1
UGC07323,0.37302540040719223,0.1,4.178224618514883,0.5222780773143604,8,10,85.6
UGC07399,3.2341885789500027,0.1,45.93915881417341,5.742394851771676,8,10,106.0
UGC07524,0.43237916759819534,0.1,80.6572066452045,2.7812829877656724,29,31,83.8
UGC07559,0.1,0.1,15.264437162416169,3.052887432483234,5,7,32.1
UGC07577,0.1,0.1,66.01222639564666,9.430318056520951,7,9,17.8
UGC07603,1.1440315295777927,0.1,33.533780095338464,3.3533780095338463,10,12,64.0
UGC07608,1.8982391908150908,0.1,4.0910287566139925,0.6818381261023321,6,8,69.3
UGC07690,0.5647860101490261,0.1,10.276833420253077,2.0553666840506155,5,7,60.7
UGC07866,0.1,0.1,4.322740539393367,0.8645481078786734,5,7,33.1
UGC08286,1.4430178531733415,0.1,38.191027020746255,2.5460684680497505,15,17,84.3
UGC08490,1.4088963931969807,0.1,8.554141400774872,0.30550505002767403,28,30,80.1
UGC08550,0.9026300849162765,0.1,10.202456862182537,1.1336063180202818,9,11,57.8
UGC08699,1.0807346762187688,0.638516680673254,29.272719509230082,0.7505825515187201,39,41,202.0
UGC08837,0.1,0.1,56.6458876838048,9.440981280634134,6,8,48.0
UGC09037,0.24583478114641283,0.1,35.13229251411153,1.7566146257055766,20,22,160.0
UGC09133,0.4665141488987233,0.793653383718621,2718.9037315777905,41.19551108451198,66,68,289.0
UGC09992,0.1,0.1,12.297347095848387,4.099115698616129,3,5,34.3
UGC10310,0.5109494943781046,0.1,10.583143271616137,2.1166286543232276,5,7,73.2
UGC11455,0.5906853785008844,0.1,169.08562065955445,4.973106489986896,34,36,291.0
UGC11557,0.1,0.1,13.115753622413157,1.3115753622413158,10,12,85.0
UGC11820,0.1,0.1,497.26832422818666,62.15854052852333,8,10,84.45
UGC11914,0.9015298405393196,0.8976589902281578,357.36087146991645,5.672394785236769,63,65,305.0
UGC12506,1.2320377994455733,0.1,78.24030715453537,2.697941626018461,29,31,255.0
UGC12632,0.48346811024762676,0.1,70.19616471789983,5.3997049782999875,13,15,73.2
UGC12732,0.7427976816099199,0.1,32.439113930594225,2.317079566471016,14,16,98.0
UGCA281,0.36214556617839544,0.1,1.3549154724871038,0.27098309449742075,5,7,29.5
UGCA442,0.8917366550178114,0.1,28.25606161495611,4.709343602492685,6,8,57.8
UGCA444,0.1,0.1,37.18617087340052,1.0937109080411918,34,36,38.3
